spot_id,name,addr,lat,lng,placeholder_reason
40,증도 카트체험장,전라남도 신안군 증도면 우전리,34.9636869,126.1350632,행정구역명으로 끝남 (우전리)
234,대유랜드실탄사격장,제주특별자치도 서귀포시 색달동,33.2789963105327,126.408364083646,행정구역명으로 끝남 (색달동)
249,한강 스피드보트,서울특별시 영등포구 여의도동,37.526784915083,126.930167091136,행정구역명으로 끝남 (여의도동)
